FID,ID_ROTA_CICLOVIARIA,ID_TRECHO,NOME_LOGRAD,ANO_MES_IMPLANTACAO,TIPO_ROTA_CICLOVIARIA,POSICIONAMENTO,EXTENSAO_CICLOVIA,SITUACAO_ROTA,SENTIDO_CIRCULACAO,LARGURA_MIN,TIPO_SEGREGADOR,GEOMETRIA
ROTA_CICLOVIARIA.16582,16582,5065,AVE WALDYR SOEIRO EMRICH,JUN/15,CALCADA CP,AMBOS,47.66475502,IMPLANTADA,BIDIRECIONAL,2,SOBRE CALÇADA,"MULTILINESTRING ((601590.154044811 7788890.02500709, 601542.49306478 7788890.62488499))"
ROTA_CICLOVIARIA.16583,16583,3628,AVE WALDYR SOEIRO EMRICH,JUN/15,CALCADA CP,AMBOS,71.57352023,IMPLANTADA,BIDIRECIONAL,2,SOBRE CALÇADA,"MULTILINESTRING ((601943.340047696 7788927.55736749, 601873.4400256 7788912.17049944))"
ROTA_CICLOVIARIA.16584,16584,3627,AVE WALDYR SOEIRO EMRICH,JUN/15,CALCADA CP,AMBOS,19.71809508,IMPLANTADA,BIDIRECIONAL,2,SOBRE CALÇADA,"MULTILINESTRING ((601707.912947202 7788890.7348626, 601688.197133491 7788890.43492365))"
ROTA_CICLOVIARIA.16585,16585,19407,AVE AMINTAS JACQUES DE MORAES,2014/02,CICLOFAIXA,CENTRAL,168.25794424,IMPLANTADA,UNIDIRECIONAL,1.5,TACHA,"MULTILINESTRING ((603408.016386612 7799796.64499622, 603377.061487125 7799790.45625592, 603327.965730187 7799773.76965243, 603255.047729077 7799730.40847847))"
ROTA_CICLOVIARIA.16586,16586,38718,RUA AUGUSTO DOS ANJOS,MAI/15,CICLOFAIXA,DIREITO,11.98196601,IMPLANTADA,BIDIRECIONAL,2.4,TACHÃO,"MULTILINESTRING ((606560.138793943 7808237.98678557, 606548.685316216 7808241.50606923))"
ROTA_CICLOVIARIA.16587,16587,33945,AVE PRESIDENTE TANCREDO NEVES,DEZ/17,CICLOVIA,CENTRAL,308.62539366,IMPLANTADA,UNIDIRECIONAL,1.5,MEIO FIO,"MULTILINESTRING ((605362.190780469 7800510.58967485, 605328.844586136 7800631.21512188, 605318.825885316 7800679.33532716, 605316.813899309 7800715.41798264, 605316.813899309 7800750.84077243, 605325.505019196 7800812.99812049))"
ROTA_CICLOVIARIA.16588,16588,17800,AVE AMINTAS JACQUES DE MORAES,2014/02,CICLOFAIXA,CENTRAL,200.3242257,IMPLANTADA,UNIDIRECIONAL,1.5,TACHA,"MULTILINESTRING ((602841.831979718 7799401.26547457, 602808.757898247 7799357.32441865, 602794.236966441 7799326.83062557, 602780.928173748 7799289.3182611, 602760.354792229 7799220.58225212))"
ROTA_CICLOVIARIA.16589,16589,38716,RUA AUGUSTO DOS ANJOS,MAI/15,CICLOFAIXA,DIREITO,60.32411385,IMPLANTADA,BIDIRECIONAL,2.4,TACHÃO,"MULTILINESTRING ((606617.595836998 7808219.610526, 606560.138793943 7808237.98678557))"
ROTA_CICLOVIARIA.16590,16590,38185,RUA CRISANTO MUNIZ,2015/04,CICLOFAIXA,CENTRAL,133.1949422,IMPLANTADA,UNIDIRECIONAL,1.5,TACHÃO,"MULTILINESTRING ((606793.47969583 7808571.5688859, 606776.460273203 7808703.67199669))"
ROTA_CICLOVIARIA.16591,16591,38717,RUA AUGUSTO DOS ANJOS,MAI/15,CICLOFAIXA,DIREITO,73.19576165,IMPLANTADA,BIDIRECIONAL,2.4,TACHÃO,"MULTILINESTRING ((606689.821187186 7808207.91290702, 606664.844524813 7808210.96228633, 606617.595836998 7808219.610526))"
