FID,ID_OBRART,TIPO_OBRA_DE_ARTE,DENOMINACAO,GEOMETRIA
LOGRADOURO_OBRA_DE_ARTE.424,424,VIADUTO,VIADUTO DEZENOVE,"MULTIPOLYGON (((604059.965820033 7796358.62479553, 604062.373606567 7796368.37281135, 604020.088917017 7796370.52237382, 603988.647512717 7796372.12204821, 603984.409148749 7796362.44401814, 604059.965820033 7796358.62479553)))"
LOGRADOURO_OBRA_DE_ARTE.425,425,VIADUTO,VIADUTO VINTE E UM,"MULTIPOLYGON (((607422.435147281 7796549.33455053, 607425.931404419 7796550.80425875, 607430.004873779 7796552.2339748, 607434.218523287 7796553.9136413, 607437.475649633 7796555.29336738, 607441.128578704 7796557.07301415, 607445.160818708 7796559.13260537, 607448.887960835 7796561.29217682, 607452.969676203 7796563.56172642, 607456.68857247 7796565.93125626, 607460.679583107 7796568.5407385, 607464.678839659 7796571.33018508, 607468.950210625 7796574.67952065, 607473.139122725 7796578.18882451, 607477.765067017 7796582.23802132, 607480.667620273 7796584.59755325, 607484.980220813 7796588.84671046, 607474.870762054 7796596.93510878, 607472.528929233 7796594.46559856, 607469.288294422 7796591.34621728, 607465.272545986 7796587.80691933, 607460.819765384 7796583.90769278, 607456.581378001 7796580.75831757, 607452.02140092 7796577.40898205, 607448.426192992 7796575.06944625, 607442.959168147 7796571.90007518, 607438.176552166 7796569.28059504, 607433.196034889 7796566.94105943, 607428.875188804 7796565.1314187, 607424.809965295 7796563.43175615, 607419.779972759 7796561.63211354, 607414.972619275 7796560.17240353, 607412.127787457 7796559.3425684, 607422.435147281 7796549.33455053)))"
LOGRADOURO_OBRA_DE_ARTE.426,426,VIADUTO,VIADUTO TRES MIL SETECENTOS E SETENTA E QUATRO,"MULTIPOLYGON (((608315.851281991 7788105.55801596, 608311.703599051 7788099.75916594, 608306.459212628 7788092.12068071, 608302.418726231 7788086.21185247, 608297.545404783 7788078.40340087, 608293.224557999 7788071.33480255, 608290.371479676 7788065.95586911, 608287.031893796 7788059.76709626, 608314.655619202 7788042.94042755, 608316.420239928 7788046.47972577, 608319.471219595 7788051.92864532, 608323.767328786 7788059.51714058, 608327.395520777 7788065.68591736, 608332.095678467 7788072.86449382, 608338.379047107 7788082.02267769, 608343.004991623 7788087.98149595, 608315.851281991 7788105.55801596)))"
LOGRADOURO_OBRA_DE_ARTE.427,427,VIADUTO,VIADUTO VINTE E TRES,"MULTIPOLYGON (((608683.082018999 7788631.97362319, 608698.559550707 7788619.63606641, 608700.489089166 7788622.83543198, 608715.620298965 7788648.54033488, 608729.019871578 7788670.60595936, 608739.846726246 7788688.42242644, 608753.2462989 7788710.76799544, 608737.323489104 7788722.51566921, 608722.151049885 7788696.99073065, 608709.353427309 7788675.94490394, 608695.830166291 7788653.36938055, 608683.082018999 7788631.97362319)))"
LOGRADOURO_OBRA_DE_ARTE.428,428,VIADUTO,VIADUTO QUATRO MIL TREZENTOS E SETENTA E SETE,"MULTIPOLYGON (((610287.616931291 7791221.37015551, 610338.345637245 7791202.45389748, 610344.505318619 7791218.6506863, 610293.265367543 7791237.5169543, 610287.616931291 7791221.37015551)))"
LOGRADOURO_OBRA_DE_ARTE.429,429,VIADUTO,VIADUTO CINCO MIL DUZENTOS E OITENTA E CINCO,"MULTIPOLYGON (((607933.863470279 7800645.61219168, 607951.435364474 7800657.95967838, 607896.8973503 7800719.71710784, 607878.50911752 7800706.86972288, 607933.863470279 7800645.61219168)))"
LOGRADOURO_OBRA_DE_ARTE.430,430,VIADUTO,VIADUTO TRINTA E TRES,"MULTIPOLYGON (((618119.209904153 7805697.18993443, 618056.442197313 7805702.90881072, 618055.320755039 7805694.13055064, 618118.055478139 7805687.22191014, 618119.209904153 7805697.18993443)))"
LOGRADOURO_OBRA_DE_ARTE.431,431,VIADUTO,VIADUTO TRINTA E SEIS,"MULTIPOLYGON (((611500.523103572 7804071.59310224, 611510.294478261 7804045.18833394, 611522.960159569 7804015.75416561, 611536.722544885 7803991.53896278, 611555.622118341 7803962.20477373, 611566.968462874 7803970.25317697, 611550.410721307 7803995.438188, 611537.217302335 7804019.64339273, 611524.056867437 7804047.387896, 611513.864952643 7804075.42234138, 611500.523103572 7804071.59310224)))"
LOGRADOURO_OBRA_DE_ARTE.432,432,VIADUTO,VIADUTO TRINTA E OITO,"MULTIPOLYGON (((612521.463681875 7803629.16489817, 612525.553620646 7803635.93352044, 612521.018406283 7803636.28344921, 612517.349005571 7803636.28344921, 612512.929233029 7803636.08348991, 612509.094915431 7803635.47361405, 612505.895527844 7803634.67377686, 612501.129429841 7803632.93413096, 612496.214906641 7803623.23610496, 612499.232885653 7803624.86577325, 612501.921030894 7803626.04553311, 612504.798830553 7803627.13531129, 612507.948743074 7803628.09511592, 612510.68636338 7803628.72498771, 612514.050667853 7803629.22488596, 612517.794281163 7803629.44484119, 612521.463681875 7803629.16489817)))"
LOGRADOURO_OBRA_DE_ARTE.433,433,VIADUTO,VIADUTO TRINTA E NOVE,"MULTIPOLYGON (((612511.296555858 7803596.23160165, 612517.126367775 7803592.04245434, 612524.003401918 7803601.44054139, 612518.140606624 7803605.65968259, 612511.296555858 7803596.23160165)))"
LOGRADOURO_OBRA_DE_ARTE.434,434,VIADUTO,VIADUTO QUARENTA E UM,"MULTIPOLYGON (((612439.021730604 7803483.10462832, 612444.678379791 7803475.00627671, 612459.075623932 7803485.05423148, 612453.278795392 7803493.11259122, 612439.021730604 7803483.10462832)))"
LOGRADOURO_OBRA_DE_ARTE.435,435,VIADUTO,VIADUTO QUARENTA E SEIS,"MULTIPOLYGON (((612414.406653549 7803463.35351468, 612410.110544707 7803458.98438123, 612405.764960506 7803454.47527552, 612401.237966691 7803449.57624712, 612396.331661892 7803444.0873357, 612391.194472117 7803438.04853327, 612385.867626823 7803431.529826, 612381.398354108 7803425.80096206, 612387.772424348 7803412.18365993, 612392.414860862 7803418.79234947, 612397.07378904 7803424.62119357, 612401.353406221 7803429.76017444, 612405.731974084 7803435.00913351, 612408.065561088 7803437.7285942, 612413.169767241 7803443.31748579, 612417.655531519 7803447.58663903, 612420.764232141 7803450.61603817, 612414.406653549 7803463.35351468)))"
